vm-id,vm-name,value/power_state,value/cpu_count,value/memory_size_MiB,DatacenterID,Project,JobCode,Aplication
vm-386,ep-as-dev,POWERED_ON,1,16384,14,POT176845,555555555555,ep-as-dev
vm-390,ep-ep-dev,POWERED_ON,1,12288,14,POT176845,555555555555,ep-ep-dev
vm-393,ep-ep-qas,POWERED_ON,2,12288,14,POT176845,555555555555,ep-ep-qas
vm-416,ep-as-prd,POWERED_ON,2,16384,14,POT176845,555555555555,ep-as-prd
vm-468,ep-ep-prd,POWERED_ON,2,16384,14,POT176845,555555555555,ep-ep-prd
vm-677,HQ-AADConnect,POWERED_ON,4,8192,14,POT181793,901482000244,HQ-AADConnect
vm-1255,HQ-MB2016-01,POWERED_ON,4,16384,14,POT181793,901482000244,HQ-MB2016-01
vm-1256,HQ-Edge2016-01,POWERED_ON,4,32768,14,POT181793,901482000244,HQ-Edge2016-01
vm-1352,HQ-SSHEME,POWERED_ON,4,16384,14,POT182220 SSHE ME,901482000244,HQ-SSHEME
vm-1690,_Down_HQ-SecPW01,POWERED_OFF,4,16384,14,pot182258_security,901482000244,_Down_HQ-SecPW01
vm-1762,HQ-SecGFin,POWERED_ON,4,16376,14,pot182258_security,901482000244,HQ-SecGFin
vm-1770,HQ-SecRec1,POWERED_ON,4,8192,14,pot182258_security,901482000244,HQ-SecRec1
vm-1786,HQ-SecRec4,POWERED_ON,2,8192,14,pot182258_security,901482000244,HQ-SecRec4
vm-1866,HQ-SecRec5,POWERED_ON,4,16384,14,pot182258_security,901482000244,HQ-SecRec5
vm-1571,Test-SPSMDB,POWERED_ON,4,16384,14,POT182771 PTTEP SmartPATH Application,901481001295,Test-SPSMDB
vm-1572,Test-SPSM,POWERED_ON,4,16384,14,POT182771 PTTEP SmartPATH Application,901481001295,Test-SPSM
vm-1891,HQ-SPSMDB,POWERED_ON,4,16384,14,POT182771 PTTEP SmartPATH Application,901481001295,HQ-SPSMDB
vm-1892,HQ-SPSM,POWERED_ON,4,16384,14,POT182771 PTTEP SmartPATH Application,901481001295,HQ-SPSM
vm-1819,HQ-MIM,POWERED_ON,2,8192,14,POT183423 SRV PTTEP MIM,901482000244,HQ-MIM
vm-10534,HQ-APMAPP-AP81,POWERED_ON,8,24576,14,POT202279,901482000246,HQ-APMAPP-AP81
vm-6699,HQ-APMCON-AP81,POWERED_ON,4,8192,14,POT202279,901482000246,HQ-APMCON-AP81
vm-6700,HQ-APMDB-DB81,POWERED_ON,8,32768,14,POT202279,901482000246,HQ-APMDB-DB81
vm-6793,HQ-CRPPI-OPC01,POWERED_ON,2,8192,14,POT202279,901482000246,HQ-CRPPI-OPC01
vm-7697,HQ-APMRP-RP81,POWERED_ON,2,8192,14,POT202279,901482000246,HQ-APMRP-RP81
vm-7698,HQ-APMANA-AP81,POWERED_ON,2,8192,14,POT202279,901482000246,HQ-APMANA-AP81
vm-7699,HQ-APMOTC-AP81,POWERED_OFF,2,8192,14,POT202279,901482000246,HQ-APMOTC-AP81
vm-7700,HQ-APMEXE-AP81,POWERED_ON,2,8192,14,POT202279,901482000246,HQ-APMEXE-AP81
vm-7701,HQ-APMR-AP81,POWERED_ON,2,8192,14,POT202279,901482000246,HQ-APMR-AP81
vm-7702,HQ-APMELA-AP81,POWERED_ON,2,8192,14,POT202279,901482000246,HQ-APMELA-AP81
vm-1071,HQ-AlfredDB,POWERED_ON,4,16384,14,pttep_digital_assistant,901482000244,HQ-AlfredDB
